OBJECTID,PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
1,BISHAN,BS,N,CENTRAL REGION,CR,BA616285F402846F,2014/12/05,28789.76300000000,37450.88650000000,13517.12155620000,7618920.78844999988
2,BUKIT BATOK,BK,N,WEST REGION,WR,FB44C870B04B7F57,2014/12/05,19255.41500000000,37527.65270000000,15234.22342340000,11133256.37140000053
3,BUKIT MERAH,BM,N,CENTRAL REGION,CR,738B479882E4EE28,2014/12/05,26865.78380000000,28662.87320000000,29156.29378800000,14462471.88810000010
4,BUKIT PANJANG,BP,N,WEST REGION,WR,4A9C6E6BAF7BE998,2014/12/05,21287.04360000000,38761.84480000000,15891.85327930000,9019939.83740000054
5,BUKIT TIMAH,BT,N,CENTRAL REGION,CR,C893AEAD20F42559,2014/12/05,23256.76430000000,34689.00370000000,22492.84084390000,17526653.85669999942
6,CENTRAL WATER CATCHMENT,CC,N,NORTH REGION,NR,52D0068508B0348A,2014/12/05,24424.41830000000,39849.04560000000,30538.24617680000,37147854.45629999787
7,CHANGI,CH,N,EAST REGION,ER,70EAFFC7C76EA5AD,2014/12/05,46307.47640000000,36991.42640000000,31342.12362300000,40940490.09290000051
8,CHANGI BAY,CB,N,EAST REGION,ER,ACFD43D88C72381C,2014/12/05,49502.48660000000,34316.54420000000,18731.55996590000,1829821.68984999997
9,CHOA CHU KANG,CK,N,WEST REGION,WR,F361929FAF5E9611,2014/12/05,18415.05270000000,40833.42250000000,11518.80525820000,6117294.11290999968
10,CLEMENTI,CL,N,WEST REGION,WR,8A5BEDB748EAA0AA,2014/12/05,19923.35840000000,33319.16700000000,15024.86787520000,9516228.02333999984
11,GEYLANG,GL,N,CENTRAL REGION,CR,957AC76DACFDE12E,2014/12/05,34255.04070000000,33683.81900000000,12959.11684400000,9643155.55636000074
12,NOVENA,NV,N,CENTRAL REGION,CR,916F55DE440B0D0E,2014/12/05,28221.50580000000,34356.63860000000,14804.90030770000,8968012.41928000003
13,PASIR RIS,PR,N,EAST REGION,ER,69E0AC0FE45B2A77,2014/12/05,40795.83970000000,40066.41080000000,22425.80600460000,15809578.74389999919
14,PAYA LEBAR,PL,N,EAST REGION,ER,BD0F96ABEF38B9F6,2014/12/05,37065.55540000000,37940.89110000000,15196.81879470000,11685832.21110000089
15,SELETAR,SL,N,NORTH-EAST REGION,NER,9D39537C03217C6F,2014/12/05,32872.39080000000,44016.22080000000,15103.70411560000,10847704.85700000077
16,SEMBAWANG,SB,N,NORTH REGION,NR,E09108C7592EF5E8,2014/12/05,26387.39810000000,48594.63560000000,21493.53236580000,12636355.80069999956
17,BEDOK,BD,N,EAST REGION,ER,1719251260799DF6,2014/12/05,38582.66500000000,34032.09610000000,21872.79896160000,21733187.78069999814
18,BOON LAY,BL,N,WEST REGION,WR,A3DC87118B43CDED,2014/12/05,13410.38240000000,33008.98840000000,18528.46744770000,8279408.15065000020
19,SENGKANG,SE,N,NORTH-EAST REGION,NER,393104C2DCC0FC8A,2014/12/05,34051.82480000000,41466.17750000000,17024.68849900000,10602843.39739999920
20,SERANGOON,SG,N,NORTH-EAST REGION,NER,2A7069F3FC33F547,2014/12/05,31839.38340000000,38582.58700000000,16149.00989590000,10100544.25889999978
21,ANG MO KIO,AM,N,NORTH-EAST REGION,NER,E5CBDDE0C2113055,2014/12/05,28976.87630000000,40229.12380000000,17494.24018970000,13941379.99430000037
22,TENGAH,TH,N,WEST REGION,WR,7E6091D103E50A01,2014/12/05,16363.18930000000,38432.54740000000,12808.87653240000,7370557.68173000030
23,TOA PAYOH,TP,N,CENTRAL REGION,CR,16620AB9EA735CA3,2014/12/05,31083.52900000000,35429.21370000000,13840.36795670000,8180212.90429999959
24,WESTERN WATER CATCHMENT,WC,N,WEST REGION,WR,82062B23F9087DE0,2014/12/05,12020.34200000000,40454.87100000000,44305.66056810000,69748298.79199999571
25,YISHUN,YS,N,NORTH REGION,NR,8E97EE13381B69DA,2014/12/05,28404.03600000000,44086.21990000000,22781.57171750000,20874528.87310000136
26,DOWNTOWN CORE,DT,Y,CENTRAL REGION,CR,5914236396CFDF82,2014/12/05,30335.18720000000,29721.45170000000,12142.07525490000,4468713.35530999955
27,MARINA EAST,ME,Y,CENTRAL REGION,CR,782A2FAF8A3659C5,2014/12/05,32344.04890000000,30103.24950000000,6470.94964274000,1844060.67467999994
28,NEWTON,NT,Y,CENTRAL REGION,CR,1DE4AA639FDF20AC,2014/12/05,28529.65720000000,32330.49480000000,8886.28581440000,2068721.52328000008
29,ORCHARD,OR,Y,CENTRAL REGION,CR,4DFCD59D0FACF7C5,2014/12/05,28029.14220000000,31793.85820000000,7276.20975611000,957525.42843199999
30,WOODLANDS,WD,N,NORTH REGION,NR,57F29EEC463EBBFC,2014/12/05,22923.79680000000,46928.62710000000,16932.54652780000,13613633.27339999937
31,MARINA SOUTH,MS,Y,CENTRAL REGION,CR,5ED7EB250108CED5,2014/12/05,31595.83570000000,29220.18730000000,5267.38102360000,1630379.26799999992
32,MUSEUM,MU,Y,CENTRAL REGION,CR,C9417DF702E29BA1,2014/12/05,29490.78920000000,30921.35390000000,4385.92673751000,830273.05846099998
33,HOUGANG,HG,N,NORTH-EAST REGION,NER,486168254785786B,2014/12/05,34285.76430000000,38409.69870000000,18300.97614060000,13933185.40300000086
34,JURONG EAST,JE,N,WEST REGION,WR,D72351F1113079A2,2014/12/05,17035.36000000000,33633.69030000000,27340.81729240000,17858613.32290000096
35,LIM CHU KANG,LK,N,NORTH REGION,NR,E4489A08FC8CCAF7,2014/12/05,15309.81680000000,45819.04140000000,18733.83625090000,17494884.18420000002
36,MANDAI,MD,N,NORTH REGION,NR,1AEBC042AF3913C4,2014/12/05,24566.11000000000,45042.50040000000,17658.81706490000,11766080.49980000034
37,MARINE PARADE,MP,N,CENTRAL REGION,CR,6351E8FE95B3D9E9,2014/12/05,35005.86310000000,31398.33070000000,13952.63216040000,6134751.30344999954
38,NORTH-EASTERN ISLANDS,NE,N,NORTH-EAST REGION,NER,92BC3E09ACAE5FEA,2014/12/05,50424.79230000000,42612.87840000000,62436.23535000000,67250562.95999999344
39,PIONEER,PN,N,WEST REGION,WR,3AF012CC0BE1DF82,2014/12/05,10156.66600000000,32765.29070000000,20540.68436090000,12217910.69370000064
40,PUNGGOL,PG,N,NORTH-EAST REGION,NER,ACABACFD09B4EBEE,2014/12/05,36538.41810000000,43023.55610000000,13833.93464220000,9377350.96151999943
41,QUEENSTOWN,QT,N,CENTRAL REGION,CR,3CB2E20AC22FDB3D,2014/12/05,22573.46050000000,30164.69990000000,34082.50802170000,21672762.52849999815
42,SOUTHERN ISLANDS,SI,N,CENTRAL REGION,CR,E82852AECAE993F7,2014/12/05,28281.69470000000,25069.98270000000,43123.17092660000,7125451.82605000027
43,TUAS,TS,N,WEST REGION,WR,69B4325D39BB4475,2014/12/05,5687.97110000000,28998.25490000000,71846.94255540000,45289470.82599999756
44,JURONG WEST,JW,N,WEST REGION,WR,28E2463E2A0FC995,2014/12/05,13708.68600000000,35974.52920000000,19330.29876810000,14680540.04770000093
45,KALLANG,KL,N,CENTRAL REGION,CR,229F1481FF686959,2014/12/05,31685.37300000000,32515.77350000000,15584.13772370000,9169901.64044000022
46,SIMPANG,SM,N,NORTH REGION,NR,B5B8509F389104C6,2014/12/05,30181.25930000000,47305.15100000000,18102.01241690000,8283191.21987999976
47,SUNGEI KADUT,SK,N,NORTH REGION,NR,71B6667147A27784,2014/12/05,19558.16990000000,44434.83830000000,20237.35314760000,17589075.09650000185
48,TAMPINES,TM,N,EAST REGION,ER,A19EFC24681FB665,2014/12/05,41459.47940000000,36200.47030000000,22170.71062380000,20970769.15870000049
49,WESTERN ISLANDS,WI,N,WEST REGION,WR,B767C4DCBED24803,2014/12/05,14167.03220000000,25793.23010000000,111546.68340900000,45878779.11680000275
50,TANGLIN,TN,N,CENTRAL REGION,CR,6C0F97AECAFBF790,2014/12/05,26250.09380000000,32298.92570000000,13832.39465840000,7552393.47840000037
51,OUTRAM,OT,Y,CENTRAL REGION,CR,736C77537EA35E27,2014/12/05,28972.95770000000,29477.48860000000,6158.95833313000,1373186.29796000011
52,RIVER VALLEY,RV,Y,CENTRAL REGION,CR,3873927C9F28D311,2014/12/05,28072.91310000000,31156.94050000000,6500.52551832000,1474964.12810999993
53,ROCHOR,RC,Y,CENTRAL REGION,CR,56597B444C0B3106,2014/12/05,30219.31930000000,31843.51890000000,7849.95903169000,1618241.13480999996
54,SINGAPORE RIVER,SR,Y,CENTRAL REGION,CR,6E975674F87A9B7E,2014/12/05,28878.21470000000,30279.84450000000,6831.13097867000,957581.11016699998
55,STRAITS VIEW,SV,Y,CENTRAL REGION,CR,214517996521BE9C,2014/12/05,30832.90170000000,28194.08430000000,5277.76082729000,1127297.23736999999
